UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KX547422,03-Oct-2003,,Cyanocitta cristata,,Queens,New York,,,,,PRJNA262930
,KX547421,15-Aug-2002,,Corvus brachyrhynchos,,Steuben,New York,,,,,PRJNA262930
,KX547420,28-Jul-2006,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547419,23-Aug-2007,,Corvus brachyrhynchos,,Dutchess,New York,,,,,PRJNA262930
,KX547418,16-Aug-2012,,Aedes sp.,,St.,New York,,,,,PRJNA262930
,KX547417,22-Jul-2011,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547416,04-Aug-2011,,Coquillettidia sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547415,28-Jul-2004,,Corvus brachyrhynchos,,Monroe,New York,,,,,PRJNA262930
,KX547414,10-Sep-2002,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547413,02-Aug-2005,,Corvus brachyrhynchos,,Otsego,New York,,,,,PRJNA262930
,KX547412,30-Aug-2011,,Aedes sp.,,Madison,New York,,,,,PRJNA262930
,KX547411,10-Jul-2003,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547410,30-Jul-2012,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547409,10-Sep-2003,,Corvus brachyrhynchos,,Putnam,New York,,,,,PRJNA262930
,KX547408,13-Sep-2004,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547407,27-Aug-2009,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547406,25-Sep-2009,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547405,09-Aug-2003,,Corvus brachyrhynchos,,Tompkins,New York,,,,,PRJNA262930
,KX547404,18-Aug-2008,,Corvus brachyrhynchos,,Albany,New York,,,,,PRJNA262930
,KX547403,20-May-2004,,Corvus brachyrhynchos,,Onondaga,New York,,,,,PRJNA262930
,KX547402,18-Sep-2002,,Culex sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547401,16-Sep-2008,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547400,30-Aug-2006,,Passer domesticus,,Queens,New York,,,,,PRJNA262930
,KX547399,06-Sep-2007,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547398,23-Aug-2002,,Corvus brachyrhynchos,,Madison,New York,,,,,PRJNA262930
,KX547397,30-Aug-2005,,Corvus brachyrhynchos,,Rensselaer,New York,,,,,PRJNA262930
